scorer,setup,rule,auroc,pure0_leaf_alarm_recall,pure1_leaf_false_alarm_rate,pure0_leaf_alarm_median_step,pure1_leaf_false_alarm_median_step,pure0_leaf_paths,pure1_leaf_paths,pure0_successful_warning_mean_early_pct
linear,full_features,calibrated_leaf_low_fp,0.8904327021677865,0.8433627330579435,0.18032786885245902,40.0,24.0,8957.0,1159.0,38.484326029748296
linear,full_features,gated_leaf_low_fp,0.8904327021677865,0.8413531316288936,0.1725625539257981,40.0,24.0,8957.0,1159.0,38.04896319314128
linear,full_features,cusum_tuned_low_fp,0.8904327021677865,0.8173495590041309,0.10353753235547886,49.0,41.0,8957.0,1159.0,21.90227672732575
linear,full_features,consecutive_k_low_fp,0.8904327021677865,0.8479401585352239,0.17083692838654013,41.0,32.0,8957.0,1159.0,36.0856724163502
linear,full_features,ewma_low_fp,0.8904327021677865,0.8454839790108295,0.17169974115616912,40.0,24.0,8957.0,1159.0,39.439846336807655
linear,full_features,leaky_cusum_low_fp,0.8904327021677865,0.8230434297197723,0.10353753235547886,49.0,41.0,8957.0,1159.0,22.683495375502286
linear,full_features,sliding_window_risk_low_fp,0.8904327021677865,0.8447024673439768,0.1734253666954271,41.0,25.0,8957.0,1159.0,39.52685497954968
linear,no_confidence,calibrated_leaf_low_fp,0.877871911521603,0.8514011387741431,0.20189818809318377,41.0,24.0,8957.0,1159.0,36.59211853951904
linear,no_confidence,gated_leaf_low_fp,0.877871911521603,0.8438093111532879,0.19240724762726488,41.0,25.0,8957.0,1159.0,35.291525365050276
linear,no_confidence,cusum_tuned_low_fp,0.877871911521603,0.8220386290052473,0.10353753235547886,49.0,41.0,8957.0,1159.0,20.19551307327214
linear,no_confidence,consecutive_k_low_fp,0.877871911521603,0.8387853075806632,0.15789473684210525,48.0,25.0,8957.0,1159.0,31.862888893030004
linear,no_confidence,ewma_low_fp,0.877871911521603,0.8515127832979792,0.18809318377911993,41.0,24.0,8957.0,1159.0,37.51574220963003
linear,no_confidence,leaky_cusum_low_fp,0.877871911521603,0.825946187339511,0.10612597066436583,49.0,41.0,8957.0,1159.0,22.293449996450565
linear,no_confidence,sliding_window_risk_low_fp,0.877871911521603,0.8476052249637155,0.182916307161346,41.0,24.5,8957.0,1159.0,37.8197444392984
lightgbm,full_features,calibrated_leaf_low_fp,0.8579409102074539,0.8760745785419225,0.1993097497842968,40.0,24.0,8957.0,1159.0,40.95196155074825
